f1,convergence,popSize
56,-1850.16125903,15
58,-1880.4643175496,15
60,-1958.3933760932,15
62,-1936.0342065598,15
64,-1883.7058981727,15
66,-1805.5212466985,15
68,-1885.4841288337,15
70,-1897.3921857082,15
72,-1885.832188296,15
74,-1943.9892213818,15
76,-1670.9809569874,15
78,-1860.0149211966,15
80,-1781.9390292525,15
82,-1937.361586757,15
84,-1865.8549834781,15
86,-1841.5930314492,15
88,-1869.2548525121,15
90,-1848.7239895777,15
92,-1722.0493263394,15
94,-2041.8479989649,15
96,-1823.1110304533,15
98,-1681.5101734629,15
100,-1774.1418109181,15
f9,convergence,popSize
2,407.8290196197,15
4,366.52577187716,15
6,343.19296267816,15
8,334.11765622896,15
10,306.56755357903,15
12,220.23270351583,15
14,193.9417669742,15
16,173.47356366606,15
18,152.07279267329,15
20,193.4428706336,15
22,111.50796858383,15
24,107.47183184476,15
26,116.59684213702,15
28,95.517382502696,15
30,91.076953775365,15
32,70.561656237064,15
34,28.65906883044,15
36,32.627396559124,15
38,48.625973408727,15
40,64.459505477779,15
42,31.446127526144,15
44,33.888560879602,15
46,27.952290591804,15
48,24.779231203963,15
50,16.947938257057,15
52,31.442776103303,15
54,47.831643328584,15
56,24.904770528203,15
58,10.700642011522,15
60,22.983894858793,15
62,25.10176576885,15
64,15.396635172443,15
66,4.23305003561,15
68,2.5891124950771,15
70,1.6525528184608,15
72,11.644806919054,15
74,5.1231525062076,15
76,1.3620975345582,15
78,10.917665625215,15
80,0.94780802289039,15
82,1.6801393168898,15
84,0.06621039647931,15
86,23.17491425195,15
88,3.4771807334582,15
90,6.7270603690796,15
92,0.037753342421038,15
94,0.23082070680835,15
96,0.28967422634129,15
98,3.3173239227176,15
100,0.0010605869328505,15
f10,convergence,popSize
2,19.247328224145,15
4,19.221063921176,15
6,19.205693511894,15
8,19.184677402394,15
10,19.182939739334,15
12,16.711436516133,15
14,17.011651016527,15
16,12.196955703518,15
18,11.541612815454,15
20,13.182486521244,15
22,9.4844991926678,15
24,10.677462651421,15
26,10.3141877956,15
28,6.062839250133,15
30,9.4527933209366,15
32,7.3396552371047,15
34,3.9370059972327,15
36,5.4741977498287,15
38,2.8767289709536,15
40,4.3080894337784,15
42,4.0714976748749,15
44,2.8719338077528,15
46,3.8241402007663,15
48,1.4047369087356,15
50,2.4036795278,15
52,2.7384583521924,15
54,0.17010079049724,15
56,0.83026163640872,15
58,0.73899877916092,15
60,-0.05365750326938,15
62,-1.1813985237789,15
64,2.4975412705766,15
66,1.324359542003,15
68,0.035076639106605,15
70,-0.64269562360084,15
72,-0.46077391756466,15
74,-0.59756042974252,15
76,0.11371810729698,15
78,-0.9730848536486,15
80,-1.0569632411536,15
82,-0.52613790523382,15
84,-1.2002729303389,15
86,-1.0829001575367,15
88,-1.0785619581347,15
90,-0.029453169208412,15
92,-0.49097311464503,15
94,-1.3436211863718,15
96,-1.4794420507633,15
98,-0.55687236623458,15
100,-1.2231991022007,15
f11,convergence,popSize
2,563.31317297501,15
4,412.06318611223,15
6,-126.56717225776,15
8,-166.02039722358,15
10,-5118.0556205512,15
12,-39603.131303819,15
14,-5472147.3838117,15
16,-31337.035411402,15
18,-82871.294740804,15
20,-2179432.4636271,15
22,-13109561.478953,15
24,-63906917.28994,15
